UnitPrice,Discount,ShippingCost,Description,Year,Quarter,Month,DateofWeek,Hour,Country,PaymentMethod,Category,ShipmentProvider,WarehouseLocation,Predicted_Quantity
-53.17,1.780219924,,Backpack,2021,Q1,Mar,Wed,3,Sweden,Credit Card,Furniture,FedEx,,-25.20728548
-11.54,0.22,,Backpack,2022,Q3,Aug,Mon,1,Sweden,Credit Card,Accessories,DHL,,-25.20728548
-21.77,0.28,,Backpack,2021,Q4,Dec,Fri,23,Australia,paypall,Stationery,DHL,,-25.20728548
59.47,0.26,,Backpack,2020,Q3,Jul,Sun,5,Italy,Bank Transfer,Apparel,FedEx,,-25.20728548
-53.26,0.05,,Backpack,2020,Q3,Jul,Tue,18,Netherlands,Bank Transfer,Furniture,Royal Mail,,-25.20728548
-85.84,1.497147898,,Backpack,2020,Q2,May,Sat,15,Italy,paypall,Accessories,UPS,,-25.20728548
-86.53,1.348446395,,Backpack,2020,Q1,Jan,Thu,12,France,Bank Transfer,Electronics,FedEx,,-25.20728548
-40.22,1.404284893,,Backpack,2022,Q1,Feb,Tue,3,Spain,Credit Card,Electronics,DHL,,-25.20728548
78.03,0.14,,Backpack,2022,Q2,Apr,Tue,15,Sweden,Bank Transfer,Stationery,FedEx,,-25.20728548
6.46,0.16,,Backpack,2021,Q1,Jan,Wed,6,Italy,Credit Card,Furniture,Royal Mail,,-25.20728548
43.13,0.35,,Backpack,2020,Q1,Feb,Tue,21,Netherlands,Bank Transfer,Apparel,DHL,,-25.20728548
-10.32,1.820877111,,Backpack,2020,Q3,Sep,Tue,9,France,Credit Card,Accessories,DHL,,-25.20728548
-73.71,1.301909343,,Backpack,2020,Q4,Nov,Sat,22,Germany,Credit Card,Electronics,UPS,,-25.20728548
48.57,0.01,,Backpack,2020,Q4,Oct,Fri,1,Germany,Bank Transfer,Stationery,DHL,,-25.20728548
-35.83,0.12,,Backpack,2022,Q3,Jul,Wed,13,Germany,Bank Transfer,Furniture,Royal Mail,,-25.20728548
30.45,0.36,,Backpack,2020,Q2,Jun,Thu,20,Norway,paypall,Electronics,Royal Mail,,-25.20728548
76.81,0.33,,Backpack,2020,Q3,Jul,Sat,15,Norway,Bank Transfer,Furniture,DHL,,-25.20728548
53.37,0.28,9.53,Backpack,2020,Q2,Jun,Sat,6,Australia,paypall,Apparel,UPS,Berlin,24.94371351
69.17,0.1,6.93,Backpack,2021,Q1,Feb,Sun,8,United Kingdom,Credit Card,Accessories,Royal Mail,,24.28334483
67.8,0.44,7.89,Backpack,2021,Q2,Jun,Sat,4,Netherlands,paypall,Stationery,DHL,Rome,24.94371351
26.69,0.13,23.61,Backpack,2021,Q2,Jun,Sun,0,United Kingdom,Bank Transfer,Apparel,FedEx,Paris,24.94371351
42.96,0.38,6.96,Backpack,2021,Q2,Jun,Thu,5,Germany,Credit Card,Apparel,Royal Mail,Berlin,24.94371351
92.26,0.5,13.89,Backpack,2021,Q4,Nov,Tue,22,Norway,Credit Card,Furniture,Royal Mail,Rome,24.94371351
62.49,0.43,21.37,Backpack,2021,Q4,Oct,Thu,20,United States,paypall,Apparel,DHL,Amsterdam,24.94371351
95.02,0.48,10.57,Backpack,2022,Q3,Sep,Thu,3,Norway,paypall,Electronics,FedEx,Berlin,24.94371351
4.14,0.42,9.28,Backpack,2020,Q2,Apr,Wed,17,Sweden,Bank Transfer,Stationery,FedEx,Berlin,24.94371351
99.85,0.13,27.06,Backpack,2020,Q3,Sep,Mon,20,United Kingdom,Bank Transfer,Electronics,UPS,Paris,24.94371351
79.76,0.33,13.68,Backpack,2021,Q1,Feb,Tue,15,Germany,Bank Transfer,Furniture,DHL,London,24.94371351
17.03,0.49,23.97,Backpack,2021,Q2,Jun,Mon,14,Italy,paypall,Accessories,UPS,Paris,24.94371351
28.03,0.44,13.89,Backpack,2021,Q4,Oct,Thu,22,Norway,paypall,Furniture,FedEx,Berlin,24.94371351
49.98,0.16,14.07,Backpack,2022,Q1,Mar,Tue,0,Italy,Bank Transfer,Electronics,FedEx,Amsterdam,24.94371351
44.94,0.29,22.93,Backpack,2020,Q2,Jun,Thu,8,France,paypall,Stationery,UPS,London,24.94371351
55.66,0.19,18.31,Backpack,2020,Q3,Jul,Sat,16,Germany,Credit Card,Furniture,DHL,Rome,24.94371351
76.44,0.27,7.96,Backpack,2021,Q1,Feb,Wed,16,Portugal,Bank Transfer,Accessories,Royal Mail,Rome,24.94371351
16.67,0.12,6.4,Backpack,2021,Q2,Apr,Wed,16,Italy,Bank Transfer,Accessories,FedEx,Amsterdam,24.94371351
20.63,0.47,12.26,Backpack,2022,Q2,Jun,Fri,12,Australia,paypall,Accessories,FedEx,Amsterdam,24.94371351
58.06,0.45,12.86,Backpack,2020,Q2,Jun,Sat,22,Norway,Credit Card,Electronics,Royal Mail,London,24.94371351
6.11,0.17,25.59,Backpack,2020,Q3,Sep,Wed,0,Norway,Bank Transfer,Furniture,UPS,Rome,24.94371351
35.61,0.02,6.44,Backpack,2020,Q4,Dec,Sun,18,Germany,paypall,Stationery,UPS,Rome,24.94371351
29.74,0.44,24.37,Backpack,2021,Q1,Jan,Fri,11,Sweden,Bank Transfer,Apparel,DHL,Amsterdam,24.94371351
87.46,0.38,18.33,Backpack,2021,Q1,Mar,Sun,17,Spain,Bank Transfer,Stationery,DHL,Rome,24.94371351
34.43,0.34,18.37,Backpack,2021,Q2,Apr,Sat,18,Germany,paypall,Electronics,Royal Mail,Paris,24.94371351
3.89,0.46,26.38,Backpack,2022,Q3,Sep,Sat,6,United States,paypall,Accessories,Royal Mail,,25.43718287
