Date,Year,Quarter,Month,Day,ProductName,Category,Quantity,Price,Discount,UnitsReturned,Location,Platform
2020/1/6,2020,Q1,January,6,Whey Protein,Protein,143,31.98,0.03,2,Canada,Walmart
2020/1/6,2020,Q1,January,6,Vitamin C,Vitamin,139,42.51,0.04,0,UK,Amazon
2020/1/6,2020,Q1,January,6,Fish Oil,Omega,161,12.91,0.25,0,Canada,Amazon
2020/1/6,2020,Q1,January,6,Multivitamin,Vitamin,140,16.07,0.08,0,Canada,Walmart
2020/1/6,2020,Q1,January,6,Pre-Workout,Performance,157,35.47,0.25,3,Canada,iHerb
2020/1/6,2020,Q1,January,6,BCAA,Amino Acid,154,41.19,0.13,1,UK,Walmart
2020/1/6,2020,Q1,January,6,Creatine,Performance,134,32.49,0.05,1,UK,Walmart
2020/1/6,2020,Q1,January,6,Zinc,Mineral,147,46.68,0.19,0,Canada,Amazon
2020/1/6,2020,Q1,January,6,Collagen Peptides,Protein,147,10.96,0.06,2,USA,Amazon
2020/1/6,2020,Q1,January,6,Magnesium,Mineral,134,20.76,0,0,Canada,Amazon
2020/1/6,2020,Q1,January,6,Ashwagandha,Herbal,181,15.49,0.14,1,USA,Amazon
2020/1/6,2020,Q1,January,6,Melatonin,Sleep Aid,164,34.41,0.04,1,USA,Walmart
2020/1/6,2020,Q1,January,6,Biotin,Vitamin,159,28.79,0.1,1,UK,iHerb
2020/1/6,2020,Q1,January,6,Green Tea Extract,Fat Burner,143,31.88,0.06,3,UK,Walmart
2020/1/6,2020,Q1,January,6,Iron Supplement,Mineral,149,42.97,0.22,2,Canada,iHerb
2020/1/6,2020,Q1,January,6,Electrolyte Powder,Hydration,154,35.92,0.04,2,USA,Amazon
2020/1/13,2020,Q1,January,13,Whey Protein,Protein,150,12.08,0.02,2,UK,Amazon
2020/1/13,2020,Q1,January,13,Vitamin C,Vitamin,128,10.61,0.24,2,USA,Amazon
2020/1/13,2020,Q1,January,13,Fish Oil,Omega,145,27.49,0.19,2,USA,Walmart
2020/1/13,2020,Q1,January,13,Multivitamin,Vitamin,137,14.92,0.17,2,USA,Amazon
2020/1/13,2020,Q1,January,13,Pre-Workout,Performance,141,14.11,0.24,1,Canada,iHerb
2020/1/13,2020,Q1,January,13,BCAA,Amino Acid,160,29.1,0.05,0,Canada,Amazon
2020/1/13,2020,Q1,January,13,Creatine,Performance,154,42.2,0.13,0,UK,Walmart
2020/1/13,2020,Q1,January,13,Zinc,Mineral,154,47.4,0.2,2,USA,Amazon
2020/1/13,2020,Q1,January,13,Collagen Peptides,Protein,134,56.4,0.06,1,Canada,iHerb
2020/1/13,2020,Q1,January,13,Magnesium,Mineral,148,40.65,0.24,1,UK,Amazon
2020/1/13,2020,Q1,January,13,Ashwagandha,Herbal,133,54.35,0.16,1,UK,Walmart
2020/1/13,2020,Q1,January,13,Melatonin,Sleep Aid,141,33.03,0.21,2,USA,Amazon
2020/1/13,2020,Q1,January,13,Biotin,Vitamin,161,18.87,0.14,5,USA,iHerb
2020/1/13,2020,Q1,January,13,Green Tea Extract,Fat Burner,174,18.24,0.03,2,USA,Walmart
2020/1/13,2020,Q1,January,13,Iron Supplement,Mineral,163,35.29,0.21,2,USA,Amazon
2020/1/13,2020,Q1,January,13,Electrolyte Powder,Hydration,151,35.42,0.07,2,USA,Amazon
2020/1/20,2020,Q1,January,20,Whey Protein,Protein,157,41.81,0.19,0,USA,Walmart
2020/1/20,2020,Q1,January,20,Vitamin C,Vitamin,149,22.33,0.18,5,UK,Walmart
2020/1/20,2020,Q1,January,20,Fish Oil,Omega,131,50,0.05,1,USA,Walmart
2020/1/20,2020,Q1,January,20,Multivitamin,Vitamin,159,19.4,0.09,2,USA,Walmart
2020/1/20,2020,Q1,January,20,Pre-Workout,Performance,152,48.05,0.01,2,USA,iHerb
2020/1/20,2020,Q1,January,20,BCAA,Amino Acid,145,17.44,0.08,3,UK,Amazon
2020/1/20,2020,Q1,January,20,Creatine,Performance,148,54.31,0.15,1,UK,iHerb
2020/1/20,2020,Q1,January,20,Zinc,Mineral,147,10.16,0.15,1,USA,iHerb
2020/1/20,2020,Q1,January,20,Collagen Peptides,Protein,161,39.41,0.12,2,UK,Walmart
2020/1/20,2020,Q1,January,20,Magnesium,Mineral,126,38.07,0.14,1,Canada,Amazon
2020/1/20,2020,Q1,January,20,Ashwagandha,Herbal,156,23.49,0.21,1,Canada,iHerb
2020/1/20,2020,Q1,January,20,Melatonin,Sleep Aid,128,26.71,0.2,2,Canada,iHerb
2020/1/20,2020,Q1,January,20,Biotin,Vitamin,161,32.01,0.04,1,Canada,Amazon
2020/1/20,2020,Q1,January,20,Green Tea Extract,Fat Burner,148,21.03,0.15,2,UK,Walmart
2020/1/20,2020,Q1,January,20,Iron Supplement,Mineral,155,41.81,0.2,0,UK,iHerb
2020/1/20,2020,Q1,January,20,Electrolyte Powder,Hydration,147,29.19,0.14,2,USA,Amazon
2020/1/27,2020,Q1,January,27,Whey Protein,Protein,137,26.73,0.01,0,UK,Amazon
2020/1/27,2020,Q1,January,27,Vitamin C,Vitamin,163,35.9,0.07,4,UK,iHerb
2020/1/27,2020,Q1,January,27,Fish Oil,Omega,141,53.64,0.21,0,Canada,iHerb
2020/1/27,2020,Q1,January,27,Multivitamin,Vitamin,162,34.15,0.03,0,UK,iHerb
2020/1/27,2020,Q1,January,27,Pre-Workout,Performance,158,31.84,0.18,2,USA,iHerb
2020/1/27,2020,Q1,January,27,BCAA,Amino Acid,136,16.77,0.19,2,USA,iHerb
2020/1/27,2020,Q1,January,27,Creatine,Performance,180,12.85,0.07,1,USA,Walmart
2020/1/27,2020,Q1,January,27,Zinc,Mineral,140,47.97,0.11,2,UK,iHerb
2020/1/27,2020,Q1,January,27,Collagen Peptides,Protein,126,11.68,0.02,3,Canada,Walmart
2020/1/27,2020,Q1,January,27,Magnesium,Mineral,135,30.55,0.09,3,USA,Amazon
2020/1/27,2020,Q1,January,27,Ashwagandha,Herbal,174,30.94,0.07,2,Canada,Amazon
2020/1/27,2020,Q1,January,27,Melatonin,Sleep Aid,156,38.27,0.12,4,UK,iHerb
2020/1/27,2020,Q1,January,27,Biotin,Vitamin,154,15.7,0.04,1,UK,Walmart
2020/1/27,2020,Q1,January,27,Green Tea Extract,Fat Burner,141,38.06,0.13,0,UK,iHerb
2020/1/27,2020,Q1,January,27,Iron Supplement,Mineral,165,13.38,0.18,2,USA,iHerb
2020/1/27,2020,Q1,January,27,Electrolyte Powder,Hydration,129,34.23,0.04,3,Canada,Amazon
2020/2/3,2020,Q1,February,3,Whey Protein,Protein,165,33.11,0.1,2,Canada,iHerb
2020/2/3,2020,Q1,February,3,Vitamin C,Vitamin,152,35.63,0.2,1,UK,Amazon
2020/2/3,2020,Q1,February,3,Fish Oil,Omega,138,18.24,0.08,2,UK,Amazon
2020/2/3,2020,Q1,February,3,Multivitamin,Vitamin,151,53.89,0.22,3,UK,Amazon
2020/2/3,2020,Q1,February,3,Pre-Workout,Performance,140,59.25,0.19,0,UK,Amazon
2020/2/3,2020,Q1,February,3,BCAA,Amino Acid,126,55.46,0.13,1,USA,iHerb
2020/2/3,2020,Q1,February,3,Creatine,Performance,132,51.11,0.1,2,Canada,Amazon
2020/2/3,2020,Q1,February,3,Zinc,Mineral,184,36.17,0.07,3,Canada,Amazon
2020/2/3,2020,Q1,February,3,Collagen Peptides,Protein,153,49.9,0.1,3,UK,Amazon
2020/2/3,2020,Q1,February,3,Magnesium,Mineral,151,44.79,0.2,1,Canada,Amazon
2020/2/3,2020,Q1,February,3,Ashwagandha,Herbal,135,19.21,0.22,2,UK,Amazon
2020/2/3,2020,Q1,February,3,Melatonin,Sleep Aid,135,40.76,0.02,3,Canada,iHerb
2020/2/3,2020,Q1,February,3,Biotin,Vitamin,162,58.36,0.1,5,UK,Amazon
2020/2/3,2020,Q1,February,3,Green Tea Extract,Fat Burner,156,18.3,0.22,1,UK,iHerb
2020/2/3,2020,Q1,February,3,Iron Supplement,Mineral,136,37.99,0.13,2,USA,Amazon
2020/2/3,2020,Q1,February,3,Electrolyte Powder,Hydration,168,46.57,0.05,3,Canada,iHerb
2020/2/10,2020,Q1,February,10,Whey Protein,Protein,163,45.51,0.08,1,UK,iHerb
2020/2/10,2020,Q1,February,10,Vitamin C,Vitamin,163,27.89,0.12,3,UK,Amazon
2020/2/10,2020,Q1,February,10,Fish Oil,Omega,144,45.6,0.21,0,Canada,Amazon
2020/2/10,2020,Q1,February,10,Multivitamin,Vitamin,140,27.4,0.11,2,UK,Walmart
2020/2/10,2020,Q1,February,10,Pre-Workout,Performance,155,27.62,0.21,1,USA,iHerb
2020/2/10,2020,Q1,February,10,BCAA,Amino Acid,134,26.26,0.17,0,UK,Amazon
2020/2/10,2020,Q1,February,10,Creatine,Performance,137,21.36,0.21,1,Canada,iHerb
2020/2/10,2020,Q1,February,10,Zinc,Mineral,155,35.63,0.08,1,UK,Amazon
2020/2/10,2020,Q1,February,10,Collagen Peptides,Protein,155,53.56,0.19,2,UK,Walmart
2020/2/10,2020,Q1,February,10,Magnesium,Mineral,156,55.36,0.17,2,UK,iHerb
2020/2/10,2020,Q1,February,10,Ashwagandha,Herbal,132,33.02,0.22,1,USA,iHerb
